ID,Area_total,Area_overlap,Area_CONABIO,Area_GMW_calculated,Area_not_overlapped,Percent_overlap,Area_JCONABIO,Area_JGMW,Difference_JArea,%conabio_total,%GMW_total
1502,2.214071456,0,0,2.214071456,2.214071456,0,0,2.214071456,-2.214071456,0,1
1503,11.54895878,0,0,11.54895878,11.54895878,0,0,11.54895878,-11.54895878,0,1
1504,6.02194604,0,0,6.02194604,6.02194604,0,0,6.02194604,-6.02194604,0,1
1505,26.63113051,0,0,26.63113051,26.63113051,0,0,26.63113051,-26.63113051,0,1
1506,35.30300613,0,0,35.30300613,35.30300613,0,0,35.30300613,-35.30300613,0,1
1507,22.90347797,0,0,22.90347797,22.90347797,0,0,22.90347797,-22.90347797,0,1
1508,71.46298005,0,0,71.46298005,71.46298005,0,0,71.46298005,-71.46298005,0,1
1509,15.19090105,0,0,15.19090105,15.19090105,0,0,15.19090105,-15.19090105,0,1
1510,15.48246289,0,0,15.48246289,15.48246289,0,0,15.48246289,-15.48246289,0,1
1511,2.075543341,0,0,2.075543341,2.075543341,0,0,2.075543341,-2.075543341,0,1
1512,43.00115143,0,0,43.00115143,43.00115143,0,0,43.00115143,-43.00115143,0,1
1513,71.82420648,0,0,71.82420648,71.82420648,0,0,71.82420648,-71.82420648,0,1
1514,5.682361851,0,0,5.682361851,5.682361851,0,0,5.682361851,-5.682361851,0,1
1515,11.10157689,0,0,11.10157689,11.10157689,0,0,11.10157689,-11.10157689,0,1
1516,17.41158364,0,0,17.41158364,17.41158364,0,0,17.41158364,-17.41158364,0,1
1517,0.875849971,0,0,0.875849971,0.875849971,0,0,0.875849971,-0.875849971,0,1
1518,4.495903579,0,0,4.495903579,4.495903579,0,0,4.495903579,-4.495903579,0,1
1519,11.42305499,0,0,11.42305499,11.42305499,0,0,11.42305499,-11.42305499,0,1
1520,3.58712496,0,0,3.58712496,3.58712496,0,0,3.58712496,-3.58712496,0,1
1521,1.941778837,0,0,1.941778837,1.941778837,0,0,1.941778837,-1.941778837,0,1
1522,0.107859503,0,0,0.107859503,0.107859503,0,0,0.107859503,-0.107859503,0,1
1523,1.563606749,0,0,1.563606749,1.563606749,0,0,1.563606749,-1.563606749,0,1
1524,1.779340073,0,0,1.779340073,1.779340073,0,0,1.779340073,-1.779340073,0,1
1525,0.754768508,0,0,0.754768508,0.754768508,0,0,0.754768508,-0.754768508,0,1
1526,4.065509127,0,0,4.065509127,4.065509127,0,0,4.065509127,-4.065509127,0,1
1527,1.540429018,0,0,1.540429018,1.540429018,0,0,1.540429018,-1.540429018,0,1
1528,0.053896887,0,0,0.053896887,0.053896887,0,0,0.053896887,-0.053896887,0,1
1530,1.044858944,0,0,1.044858944,1.044858944,0,0,1.044858944,-1.044858944,0,1
1531,3.955849442,0,0,3.955849442,3.955849442,0,0,3.955849442,-3.955849442,0,1
1532,0.933279113,0,0,0.933279113,0.933279113,0,0,0.933279113,-0.933279113,0,1
1534,2.32047825,0,0,2.32047825,2.32047825,0,0,2.32047825,-2.32047825,0,1
1536,0.035557988,0,0,0.035557988,0.035557988,0,0,0.035557988,-0.035557988,0,1
1537,3.199911079,0,0,3.199911079,3.199911079,0,0,3.199911079,-3.199911079,0,1
1538,0.388725487,0,0,0.388725487,0.388725487,0,0,0.388725487,-0.388725487,0,1
1539,1.667158416,0,0,1.667158416,1.667158416,0,0,1.667158416,-1.667158416,0,1
1540,0.285685562,0,0,0.285685562,0.285685562,0,0,0.285685562,-0.285685562,0,1
1541,0.610794634,0,0,0.610794634,0.610794634,0,0,0.610794634,-0.610794634,0,1
1542,0.034899502,0,0,0.034899502,0.034899502,0,0,0.034899502,-0.034899502,0,1
1543,2.490458334,0,0,2.490458334,2.490458334,0,0,2.490458334,-2.490458334,0,1
1544,0.516025993,0,0,0.516025993,0.516025993,0,0,0.516025993,-0.516025993,0,1
1550,2.681634968,0,0,2.681634968,2.681634968,0,0,2.681634968,-2.681634968,0,1
1551,0.620445416,0,0,0.620445416,0.620445416,0,0,0.620445416,-0.620445416,0,1
1554,1.944694532,0,0,1.944694532,1.944694532,0,0,1.944694532,-1.944694532,0,1
1555,0.659549854,0,0,0.659549854,0.659549854,0,0,0.659549854,-0.659549854,0,1
1556,0.561668161,0,0,0.561668161,0.561668161,0,0,0.561668161,-0.561668161,0,1
1558,1.327747003,0,0,1.327747003,1.327747003,0,0,1.327747003,-1.327747003,0,1
1559,0.936041156,0,0,0.936041156,0.936041156,0,0,0.936041156,-0.936041156,0,1
1560,1.6328496,0,0,1.6328496,1.6328496,0,0,1.6328496,-1.6328496,0,1
1561,0.309839207,0,0,0.309839207,0.309839207,0,0,0.309839207,-0.309839207,0,1
1562,0.111005934,0,0,0.111005934,0.111005934,0,0,0.111005934,-0.111005934,0,1
1563,1.210259211,0,0,1.210259211,1.210259211,0,0,1.210259211,-1.210259211,0,1
1564,0.423916376,0,0,0.423916376,0.423916376,0,0,0.423916376,-0.423916376,0,1
1565,0.976587155,0,0,0.976587155,0.976587155,0,0,0.976587155,-0.976587155,0,1
1566,0.578183915,0,0,0.578183915,0.578183915,0,0,0.578183915,-0.578183915,0,1
1567,1.865786809,0,0,1.865786809,1.865786809,0,0,1.865786809,-1.865786809,0,1
1578,0.277347127,0,0,0.277347127,0.277347127,0,0,0.277347127,-0.277347127,0,1
1591,0.038867072,0,0,0.038867072,0.038867072,0,0,0.038867072,-0.038867072,0,1
1605,0.906288536,0,0,0.906288536,0.906288536,0,0,0.906288536,-0.906288536,0,1
1663,0.197406271,0,0,0.197406271,0.197406271,0,0,0.197406271,-0.197406271,0,1
